Clase de aviso;Ubicac.técnica;Denominación;Equipo;Denominación;Creado el;Fecha ref.;Aviso;Orden;Autor del aviso;Descripción;Fecha de aviso;Status sistema;Fecha de cierre;Costo ML;Moneda
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6711-01;TANQUE 11 DE JARABE TERMINADO (6711);14.06.2026;22.06.2026;11892253;9473154;76002032;RQ|DIELECTRICO PARA MOTORES JARSIM;14.06.2026;MECE ORAS;22.06.2026;1.60;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6713-01;TANQUE 13 DE JARABE TERMINADO (6713);11.06.2026;11.06.2026;11890816;9470481;11136PAE;SEG| cambiar sello tq13;11.06.2026;MECE ORAS;15.06.2026;1.50;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6714-01;TANQUE 14 DE JARABE TERMINADO (6714);11.06.2026;11.06.2026;11890862;9509358;76002032;Fuga de Jarabe;11.06.2026;MECE PTBO;15.06.2026;2.80;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6714-01;TANQUE 14 DE JARABE TERMINADO (6714);11.06.2026;11.06.2026;11890815;9470438;11136PAE;SEG| cambiar sello tq14 JT;11.06.2026;MECE ORAS;15.06.2026;3.50;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;11.06.2026;12.06.2026;11890814;9470437;11136PAE;MAICambio Val de bola 1/2 JS AGUACRUDA;10.06.2026;MECE ORAS;12.06.2026;26.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6713-01;TANQUE 13 DE JARABE TERMINADO (6713);10.06.2026;08.08.2026;11890411;9547251;76012271;SEG|CAMBIO DE RACOR CUERNO L 6;10.06.2026;MECE ORAS;08.08.2026;9.38;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6713-01;TANQUE 13 DE JARABE TERMINADO (6713);10.06.2026;10.06.2026;11890609;9484053;12000PAE;MA | REPARACION TUBERIA DE ENVIO L6 JT;10.06.2026;MECE ORAS;27.06.2026;7.75;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;09.06.2026;23.06.2026;11890147;9520795;76001947;ZM I CAMBIO DE VALVULA DE SEGURIDAD;09.06.2026;MECE ORAS;23.07.2026;95.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-01;ESTACION DILUCION 1 (JARABE TERMINADO);09.06.2026;15.06.2026;11890281;9469759;11136PAE;SEG| cambiar sello tq1;09.06.2026;MECE ORAS;15.06.2026;450.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6713-01;TANQUE 13 DE JARABE TERMINADO (6713);09.06.2026;15.06.2026;11890112;9473160;76001959;MA| FUGA EN SELLO MECANICO DE BOMBA TQ13;09.06.2026;MECE ORAS;15.06.2026;250.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6713-01;TANQUE 13 DE JARABE TERMINADO (6713);09.06.2026;09.06.2026;11890145;9469681;76002032;RQ|REPARAION DE CAJAREDUCTORA JARTER;09.06.2026;MECE ORAS;27.06.2026;425.00;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;08.06.2026;10.06.2026;11889964;9470235;76002049;MAl CAMBIO DE EMPAQUE;08.06.2026;MECE ORAS;10.06.2026;450.00;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-SIT-01;SISTEMA DE TUBERIAS;08.06.2026;10.06.2026;11889960;9470236;76002049;MAl FUGA POR EMPAQUE DANADO;08.06.2026;MECE ORAS;10.06.2026;75.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6712-01;TANQUE 12 DE JARABE TERMINADO (6712);08.06.2026;10.06.2026;11889726;9468561;11136PAE;SEG|Cambio de visor tq12 JT;08.06.2026;MECE ORAS;10.06.2026;1100.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6714-01;TANQUE 14 DE JARABE TERMINADO (6714);08.06.2026;10.06.2026;11889809;9470097;76001959;MA| FUGA EN SELLO MECANICO DE BOMBA TQ14;08.06.2026;MECE ORAS;10.06.2026;490.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6714-01;TANQUE 14 DE JARABE TERMINADO (6714);07.06.2026;10.06.2026;11889473;9470099;76001947;MA| Fuga en sello de bomba del tanque 14;07.06.2026;MECE ORAS;10.06.2026;7.13;USD
ZI;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;06.06.2026;10.06.2026;11889156;9470246;76001947;MAl FUGA POR EMPAQUE DANADO;06.06.2026;MECE ORAS;10.06.2026;0.69;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;05.06.2026;05.06.2026;11889018;9467627;11136PAE;MAlcolocar niples, valvula cip 1 tqagua;05.06.2026;MECE ORAS;13.08.2026;1.55;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;04.06.2026;10.06.2026;11888210;9470101;76012271;SEG|FUGA DE VAPOR  EN VALVU CIP 1;04.06.2026;MECE ORAS;10.06.2026;5.95;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;04.06.2026;16.06.2026;11888461;9466925;11136PAE;SEG I CAMBIO DE BOMBA RECIRC HOLD 1 JS;04.06.2026;MECE ORAS;16.06.2026;95.00;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;04.06.2026;20.07.2026;11888179;9470104;76002264;MA | Cambiar valvula de manguera agua JS;04.06.2026;MECE ORAS;20.07.2026;5.95;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP3-01;SISTEMA CIP 3;31.05.2026;15.06.2026;11886749;9473165;11136PAE;SEG|En union tuberia v9110 cip 3;31.05.2026;MECE ORAS;15.06.2026;11.58;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6712-01;TANQUE 12 DE JARABE TERMINADO (6712);31.05.2026;04.06.2026;11886964;9464270;12000PAE;MA I CAMBIO DE SELLO BOMBA TQ 12 JS;31.05.2026;MECE ORAS;04.06.2026;42.92;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;31.05.2026;15.06.2026;11886747;9473164;11136PAE;SEG|soldar union flange cip 1;30.05.2026;MECE ORAS;15.06.2026;95.00;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;31.05.2026;15.06.2026;11886748;9473161;11136PAE;SEG|soldar union de tuberia cip 1 tqsoda;30.05.2026;MECE ORAS;15.06.2026;25.77;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;30.05.2026;10.06.2026;11886502;9470251;76001947;ZM I FUGA EN BOMBA 8101;30.05.2026;MECE ORAS;10.06.2026;168.60;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;30.05.2026;16.06.2026;11886501;9465561;76001947;RQ|REPARCION MOTOBOMBA HOLDING;30.05.2026;MECE ORAS;16.06.2026;3.25;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;29.05.2026;05.06.2026;11886182;9462944;12000PAE;MA I CAMBIO EMPAQUE TUBERIA RECIR CIP 1;29.05.2026;MECE ORAS;16.06.2026;3.00;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP3-01;SISTEMA CIP 3;29.05.2026;29.05.2026;11886458;9463599;11136PAE;SEG|cambio de asiento DN25 en Cip3 v9110;29.05.2026;MECE ORAS;16.06.2026;1185.00;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;29.05.2026;04.06.2026;11886228;9463172;76002049;FUGA POR SELLO;29.05.2026;MECE ORAS;04.06.2026;922.61;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6708-01;TANQUE 8 DE JARABE TERMINADO (6708);29.05.2026;04.06.2026;11886183;9462992;12000PAE;MA I CAMBIO DE MANHOULD DE TANQUE 8 JT;29.05.2026;MECE ORAS;04.06.2026;1020.90;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6705-01;TANQUE 5 DE JARABE TERMINADO (6705);25.05.2026;29.05.2026;11884733;9459694;12000PAE;SOLDAR LLAVE RACORD JARABE TERMINADO;25.05.2026;MECE ORAS;29.06.2026;18.08;USD
ZM;SS01-M1-NI1-PMX1;AREA DE LLENADO DE CILINDROS POST MIX;1EPMX-LLB-01;LLENADORA BAG IN BOX;25.05.2026;25.05.2026;11884612;9459621;12000PAE;RQ|VALVULA DE LLENADO DAÑADA L6;25.05.2026;MECE ORAS;22.08.2026;95.00;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP3-01;SISTEMA CIP 3;21.05.2026;23.05.2026;11883136;9554061;11136PAE;SEG| Colocar sensor en v1113 Cip 3;21.05.2026;MECE ORAS;21.08.2026;490.00;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;20.05.2026;20.05.2026;11882523;9439170;12000PAE;ZM|CAMBIO DE SENSOR INDUCTIVO EN CIP 1;20.05.2026;MECE ORAS;27.05.2026;-490.00;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;18.05.2026;18.05.2026;11881719;9435643;12000PAE;CAMBIO VALVULA MANUAL MANGERA AGUA CIP 1;18.05.2026;MECE ORAS;18.05.2026;125.09;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-TAE-01;TABLERO ELECTRICO JARABE SIMPLE;18.05.2026;18.05.2026;11881604;9435723;12000PAE;SEG I CAMBIO SUPERFI PLACA TOMA 110V JS;18.05.2026;MECE ORAS;18.05.2026;12.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6709-01;TANQUE 9 DE JARABE TERMINADO (6709);18.05.2026;18.05.2026;11881600;9435726;12000PAE;SEG I CAMBIO ROSCA ENTRADA TANQUE 9 JT;18.05.2026;MECE ORAS;18.05.2026;364.85;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;17.05.2026;18.05.2026;11881420;9435208;11136PAE;MA| CAMBIO DE UNION 6 JS 110-80;17.05.2026;MECE ORAS;18.05.2026;87.75;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6707-01;TANQUE 7 DE JARABE TERMINADO (6707);18.05.2026;19.05.2026;11881487;9550537;12000PAE;SEG I CAMBIO ROSCA MODIFICADA CIP A TQ7;17.05.2026;MECE ORAS;13.08.2026;1.15;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-STC-01;SISTEMA TRATAMIENTO DE CARBON;16.05.2026;01.06.2026;11881177;9436293;76001947;RQ|REPARACION TUB JARTER EXT;16.05.2026;MECE ORAS;09.06.2026;48.93;USD
ZA;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6714-01;TANQUE 14 DE JARABE TERMINADO (6714);15.05.2026;20.05.2026;11880792;9434463;11136PAE;RQ|REPARACION CORONA MOTOAGITADOR TQ14;15.05.2026;MECE ORAS;22.06.2026;17.07;USD
ZI;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6713-01;TANQUE 13 DE JARABE TERMINADO (6713);16.05.2026;01.06.2026;11880909;9466484;76012271;MA|REFORZAR SOLDA T.B DE J.S PANEL TQ 13;15.05.2026;MECE ORAS;04.06.2026;95.00;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SID-01;SISTEMA DE DILUCION;11.05.2026;11.05.2026;11878808;9430760;12000PAE;LIMPIEZA LUBRICACION CADENA TOLVA AZUCAR;11.05.2026;MECE ORAS;11.05.2026;5.69;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6715-01;TANQUE 15 DE JARABE TERMINADO (6715);11.05.2026;18.05.2026;11878899;9431067;12000PAE;SEG I CAMBIO ROSCA ENTRADA TANQUE 15 JT;11.05.2026;MECE ORAS;18.05.2026;-5.69;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP2-01;SISTEMA CIP 2;10.05.2026;10.05.2026;11878495;9466487;76012271;SEG|COORDINAR REPACION D CABLE DE FLUJOM;10.05.2026;MECE ORAS;19.06.2026;-17.07;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;10.05.2026;10.05.2026;11878607;9462360;76002264;MA | Cambiar asiento valvula A/cruda JS;10.05.2026;MECE ORAS;10.06.2026;5.69;USD
ZI;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6712-01;TANQUE 12 DE JARABE TERMINADO (6712);08.05.2026;09.05.2026;11877998;9435390;76012041;MA|| FUGA EN SELLO MEC BOMBA TQ12;08.05.2026;MECE ORAS;18.05.2026;95.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6712-01;TANQUE 12 DE JARABE TERMINADO (6712);08.05.2026;08.05.2026;11877937;9435401;76012411;MA| Fuga en sello mecanico;08.05.2026;MECE ORAS;18.05.2026;225.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6713-01;TANQUE 13 DE JARABE TERMINADO (6713);07.05.2026;15.05.2026;11877544;9435411;76012041;MA|CAMBIO DE SENSOR DE TANQUE 13;07.05.2026;MECE ORAS;28.06.2026;400.00;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SID-01;SISTEMA DE DILUCION;06.05.2026;15.06.2026;11877191;9428284;12000PAE;RQ | MONTAJE ALARMA BODEGA DE AZUCAR JS;06.05.2026;MECE ORAS;15.06.2026;250.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-01;ESTACION DILUCION 1 (JARABE TERMINADO);06.05.2026;06.05.2026;11877126;9428161;12000PAE;MONTAJE CAJA DE LLAVES EN TEAM ROOM JT;06.05.2026;MECE ORAS;06.05.2026;900.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6705-01;TANQUE 5 DE JARABE TERMINADO (6705);05.05.2026;10.05.2026;11876786;9470248;76012405;MA| fug jarabe tub L3 panLL tq5 jarter;05.05.2026;MECE ORAS;10.06.2026;1300.00;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP3-01;SISTEMA CIP 3;04.05.2026;04.05.2026;11876406;9356746;11136PAE;Segl cambiar borneras fj cip 3;04.05.2026;MECE PTBO;19.08.2026;698.00;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-SIN-01;SISTEMA NEUMATICO;02.05.2026;02.05.2026;11875795;9425850;76012271;ma| cambiar manguera de aire;02.05.2026;MECE ORAS;06.05.2026;475.00;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;30.04.2026;14.05.2026;11874938;9424922;11136PAE;MA|CAMBIO DE ASIENTO DAÑA VALV CIP 1;30.04.2026;MECE ORAS;14.05.2026;620.00;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP3-01;SISTEMA CIP 3;30.04.2026;30.04.2026;11874849;9424991;11136PAE;SEGl LIMPIEZA EN SEN NIVEL CIP3;30.04.2026;MECE ORAS;30.04.2026;0.00;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP3-01;SISTEMA CIP 3;30.04.2026;30.04.2026;11874900;9434463;11136PAE;SEGlCAMBIAR VALVLA MODU VAPOR CIP3;30.04.2026;MECE PTBO;19.06.2026;225.00;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;30.04.2026;30.04.2026;11874848;9424997;11136PAE;MAl CAMBIO DE SELLO EN F2 JS;30.04.2026;MECE ORAS;30.04.2026;9.21;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;29.04.2026;29.04.2026;11874706;9423479;12000PAE;MA I LUBRICACION BOMBA DOSIFICADORA F2;29.04.2026;MECE ORAS;29.04.2026;6.91;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-SIV-01;SISTEMA DE VENTILACION, JARABE TERMINADO;29.04.2026;30.04.2026;11874612;9423331;76015706;REEMPLAZO AC LABORATORIO JARABE;29.04.2026;MECE ORAS;30.04.2026;28.14;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6709-01;TANQUE 9 DE JARABE TERMINADO (6709);29.04.2026;29.04.2026;11874411;9469759;76012271;BQ|COORDINAR SODADURA DE ASPAS TQ9;29.04.2026;MECE PTBO;13.08.2026;39.69;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6710-01;TANQUE 10 DE JARABE TERMINADO (6710);29.04.2026;29.04.2026;11874412;9469759;76012271;BQ|COORDINAR SOLDADURA DE ASPAS TQ 10;29.04.2026;MECE PTBO;13.08.2026;11.62;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6714-01;TANQUE 14 DE JARABE TERMINADO (6714);29.04.2026;29.04.2026;11874575;9423192;12000PAE;SEG I CAMBIO ROSCA ENTRADA TANQUE 14 JT;29.04.2026;MECE ORAS;29.04.2026;-39.66;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-04;ESTACION DILUCION 4 (JARABE TERMINADO);28.04.2026;29.04.2026;11874221;9422804;11136PAE;MAl CAMBIO DE SELLO EN TQ4 JT;28.04.2026;MECE ORAS;29.04.2026;6.00;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;26.04.2026;27.04.2026;11873572;9419737;12000PAE;MA I LUBRICACION BOMBA DOSIFICADORA F2;26.04.2026;MECE ORAS;27.04.2026;116.14;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6704-01;TANQUE 4 DE JARABE TERMINADO (6704);26.04.2026;27.04.2026;11873487;9550539;76012271;ma|fuga en visor tq  4 en union;26.04.2026;MECE ORAS;13.08.2026;12.22;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6712-01;TANQUE 12 DE JARABE TERMINADO (6712);23.04.2026;23.04.2026;11872340;9402988;12000PAE;SEG I MODIFICACION TUBERIA AGUA CRUDA L6;23.04.2026;MECE ORAS;23.04.2026;-116.14;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6715-01;TANQUE 15 DE JARABE TERMINADO (6715);23.04.2026;24.04.2026;11872456;9403819;12000PAE;SEG I CAMBIO ROSCA SUMINI CIP TQ 15 JT;23.04.2026;MECE ORAS;24.04.2026;1.32;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1ESIF-FI2-BOD-01;BOMBA ENVIO DE CARBON;23.04.2026;24.04.2026;11872475;9403914;;SEG|CAMBIAR MANGUERA BOMB BREDEL FILTRO2;23.04.2026;MECE ORAS;24.04.2026;2.56;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-STC-01;SISTEMA TRATAMIENTO DE CARBON;22.04.2026;22.04.2026;11871977;9467627;76001947;MA|SELLO BOMBA FUGA CUARTO CARBON;22.04.2026;MECE PTBO;25.06.2026;1.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6713-01;TANQUE 13 DE JARABE TERMINADO (6713);22.04.2026;28.04.2026;11871974;9422526;76001959;MA| FUGA EN SELLO MECANICO DE BOMBA TQ13;22.04.2026;MECE ORAS;28.04.2026;18.74;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6720-01;TANQUE 20 DE JARABE TERMINADO (6720);22.04.2026;22.04.2026;11872025;9467627;11136PAE;MA|FUGA SELLO AGITADOR TANQUE 400 JARTER;22.04.2026;MECE PTBO;18.08.2026;0.50;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6712-01;TANQUE 12 DE JARABE TERMINADO (6712);21.04.2026;21.04.2026;11871438;9399547;12000PAE;MA I CAMBIO DE SELLO BOMBA TQ 12 JT;21.04.2026;MECE ORAS;21.04.2026;95.00;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP2-01;SISTEMA CIP 2;20.04.2026;22.04.2026;11871312;9422530;76001946;NO SE MANTIENE EL FLUJO  Y PIERDE PRECIO;20.04.2026;MECE ORAS;29.04.2026;12.76;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP2-01;SISTEMA CIP 2;20.04.2026;20.04.2026;11871263;9423021;12000PAE;RQ|PHMETRO DANADO EN SISTEMA CIP 2;20.04.2026;MECE ORAS;19.08.2026;0.50;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;18.04.2026;18.04.2026;11870452;9396204;12000PAE;SEG I CAMBIO DE ACTUADOR FILTRO JS;18.04.2026;MECE ORAS;18.04.2026;3.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-04;ESTACION DILUCION 4 (JARABE TERMINADO);14.04.2026;14.04.2026;11868945;9399701;12000PAE;RQ|REPARACION DE MOTOR ED4 DAÑADO;14.04.2026;MECE ORAS;10.06.2026;14.69;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6714-01;TANQUE 14 DE JARABE TERMINADO (6714);14.04.2026;17.04.2026;11868885;9422532;76012041;MA| FUGA EN POR ABRAZADERA DANADA;14.04.2026;MECE ORAS;28.04.2026;4.80;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP2-01;SISTEMA CIP 2;13.04.2026;20.04.2026;11868625;9393482;11136PAE;CALIBRACION EQUIPO DE JARABE;13.04.2026;MECE ORAS;20.04.2026;2.71;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6705-01;TANQUE 5 DE JARABE TERMINADO (6705);13.04.2026;13.04.2026;11868574;9464270;76012041;MA|FUGA EN TEE DE TUBE LINEA 3;13.04.2026;MECE PTBO;23.05.2026;190.00;USD
ZI;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;11.04.2026;12.04.2026;11867811;9422534;76012041;MA|Cambio de rotor en bomba peristatica;11.04.2026;MECE ORAS;28.04.2026;7.59;USD
ZI;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;11.04.2026;08.06.2026;11867887;9470247;12000PAE;SC ICAMBIO DE MANOMETRO PRDP 3058 F2 JS;11.04.2026;MECE ORAS;16.06.2026;2.40;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;09.04.2026;10.04.2026;11867123;9390689;11136PAE;SEG|Mejora en manifull de Dosf CIP;09.04.2026;MECE ORAS;10.04.2026;258.09;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-01;ESTACION DILUCION 1 (JARABE TERMINADO);10.04.2026;10.04.2026;11867314;9463172;76012411;BQ| Gestionar reparacion de densimetro;09.04.2026;MECE PTBO;28.04.2026;95.00;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-TOE-01;TORRE DE ENFRIAMIENTO (JARABE SIMPLE);08.04.2026;08.04.2026;11866621;9390006;11136PAE;SEG|REBOBINAR MOTOR TORRE ENFRI JARABE;08.04.2026;MECE ORAS;23.05.2026;2.40;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-ESD-03;ESTACION DILUCION 3 (JARABE TERMINADO);08.04.2026;10.04.2026;11866815;9390210;12000PAE;SEG I COLOCAR PERNO FILTRO MERCH JT;08.04.2026;MECE ORAS;10.04.2026;139.50;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1ESIF-FI1-01;FILTRO 1 (JARABE SIMPLE);08.04.2026;10.04.2026;11866620;9390003;11136PAE;MA|CAMBIO MANGUERA DAÑADA BOMBA BREDEL;08.04.2026;MECE ORAS;10.04.2026;5.20;USD
ZM;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;06.04.2026;10.04.2026;11865557;9388166;12000PAE;MA I CAMBIO EMPAQUE TUBERIA TQ AGUA CIP1;06.04.2026;MECE ORAS;10.04.2026;103.12;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;05.04.2026;05.04.2026;11865360;9387707;12000PAE;MA I CAMBIO EMPAQUE VISOR DE ENVIO F1 JS;05.04.2026;MECE ORAS;05.04.2026;325.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6709-01;TANQUE 9 DE JARABE TERMINADO (6709);04.04.2026;04.04.2026;11865262;9439170;76012041;COORDINAR REPARACION DE LLAVE RACOR;04.04.2026;MECE PTBO;28.05.2026;25.76;USD
